,ID,Duration,Explicit,Popularity,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature,Preview
55,7N1Vjtzr1lmmCW9iasQ8YO,224533,True,69,0.813,0.703,11,-5.077,0,0.268,0.125,1.26e-06,0.237,0.241,94.828,4,https://p.scdn.co/mp3-preview/12ee50cc4ba06b938d5a1c118089a99ef2307a5b?cid=28588cda247f4f599396da1ad5712d00
56,3NGT0Td7H4Is1qrlDQJxma,273106,True,70,0.934,0.735,1,-6.668,1,0.251,0.031,8.6e-06,0.107,0.768,101.368,4,
57,4PvcavllGpo6lB8VkIgXIZ,275090,True,52,0.767,0.909,6,-4.347,0,0.276,0.0794,0.0,0.389,0.39,102.074,4,https://p.scdn.co/mp3-preview/919bfb8d521418b0b3c590043216f7810679e990?cid=28588cda247f4f599396da1ad5712d00
58,4u7hiFNXUeTG3A4dqQrkcd,227826,True,56,0.769,0.682,1,-12.584,1,0.354,0.0252,0.000384,0.702,0.433,91.486,4,https://p.scdn.co/mp3-preview/96d4f02b32cefe0ad0601440df55f938866e6e24?cid=28588cda247f4f599396da1ad5712d00
59,1siDRjAa8MdxNoCHTiiQ7B,325933,True,62,0.815,0.529,6,-10.117,0,0.28,0.0191,0.0,0.406,0.73,99.439,4,https://p.scdn.co/mp3-preview/8803f9fcdf16dd5c4eb8bfe071c78848dba30e8c?cid=28588cda247f4f599396da1ad5712d00
60,3RxF3Mz5wprRMopI8fp9uF,273453,True,53,0.842,0.478,2,-9.742,1,0.221,0.0234,1.91e-05,0.892,0.595,95.457,4,
61,3ipzZgH1766XXRamVwk1Iw,208866,True,58,0.754,0.801,1,-5.992,0,0.35,0.184,0.0,0.132,0.391,90.843,4,https://p.scdn.co/mp3-preview/b509fb6d82b5f34ae00a966dd943ea063e92c59a?cid=28588cda247f4f599396da1ad5712d00
62,1h20yRsf5WeuHbohrlfcCt,265533,True,58,0.687,0.597,6,-10.741,0,0.374,0.0314,0.0,0.0348,0.804,169.691,5,
63,2mehHNForRahnPueLQAgfv,249933,True,54,0.87,0.498,11,-12.095,0,0.29,0.000671,0.000389,0.0551,0.489,92.887,4,
64,4sMH75ctV0RVSOHZqXJpHD,237666,False,54,0.745,0.547,11,-7.409,0,0.295,0.00958,2.91e-05,0.0844,0.858,177.398,4,
65,5fyRqeycMofUoGmDis5Gu6,236936,True,57,0.769,0.836,8,-4.15,1,0.244,0.0618,0.0,0.182,0.651,88.978,4,https://p.scdn.co/mp3-preview/d3ef6fade4109efbdd2138c5f4cd65b787d3a219?cid=28588cda247f4f599396da1ad5712d00
66,1RjU7UhRICmdFPKxCucLgq,274093,True,66,0.875,0.658,0,-3.641,1,0.359,0.275,0.0,0.122,0.661,92.039,4,https://p.scdn.co/mp3-preview/cda3595c9e67e18934df13dc1f0c3e793f895038?cid=28588cda247f4f599396da1ad5712d00
67,5H4PU7wBIXL259apGjSpOr,317800,True,54,0.78,0.378,7,-11.481,1,0.464,0.197,0.0,0.0782,0.579,94.895,4,https://p.scdn.co/mp3-preview/6e564883d8c2c94e1394f437a035d35cd8fd45db?cid=28588cda247f4f599396da1ad5712d00
68,5H0dVldtI6HJZnEXzigKfY,214440,True,5,0.879,0.573,10,-8.113,0,0.305,0.0636,0.0,0.256,0.73,91.037,4,
69,1eduDdsjMO7Or4EXnMf2iS,287546,True,60,0.763,0.84,8,-3.704,1,0.0929,0.0346,0.0,0.0601,0.748,92.477,4,
70,3enjxX3aOAsFyaKeH1O9jO,259320,True,53,0.708,0.305,9,-14.003,1,0.817,0.138,3.08e-06,0.139,0.691,174.154,4,https://p.scdn.co/mp3-preview/71105ccad2eca6c178288dde012ce439e8093eca?cid=28588cda247f4f599396da1ad5712d00
71,4G19iP1Ltd4GLknCiS2k7y,332626,True,2,0.735,0.797,11,-4.611,0,0.285,0.0174,0.0,0.62,0.731,170.444,4,
72,5f1RQ9Xq2iS2JUx9eowJov,296266,True,6,0.756,0.781,10,-8.197,0,0.167,0.0301,0.00216,0.323,0.841,94.118,4,
73,0gEF7HzO1mYr9Hp4pdKalV,277866,False,57,0.825,0.725,6,-4.145,1,0.204,0.0852,4.27e-06,0.251,0.704,89.872,4,https://p.scdn.co/mp3-preview/c80819e222d3176951ef0ee8d62de5d2c92eaa84?cid=28588cda247f4f599396da1ad5712d00
74,6Xio661Y2iL7SDKFFOG9cv,270066,True,31,0.805,0.653,8,-11.251,0,0.185,0.138,0.0,0.1,0.257,100.349,4,
75,3lGBvPUgO7MJltUnBlOpe9,221026,True,61,0.808,0.726,10,-8.435,0,0.252,0.0208,0.276,0.129,0.616,96.12,4,
76,5XhkV07Vou38wnrzwURUOC,246320,True,64,0.692,0.833,7,-3.974,1,0.0492,0.000136,1.98e-05,0.515,0.692,96.814,4,
77,4ezafcOuI5em8LoE2xxnpv,308906,True,54,0.724,0.806,1,-6.843,0,0.295,0.0541,0.0,0.314,0.586,93.863,4,https://p.scdn.co/mp3-preview/e90062726e437dafcee39075572544a2dc69e197?cid=28588cda247f4f599396da1ad5712d00
